2023-07-19T01:39:52.928Z	INFO	github.com/onosproject/onos-e2t/pkg/southbound/e2ap/server	server/server.go:105	Received E2 setup request: protocol_ies:{id:3 value:{g_e2n_id:{g_nb:{global_g_nb_id:{plmn_id:{value:"&\x84\x13"} gnb_id:{gnb_id:{value:"\x00\x05\x15@" len:28}}}}}}} protocol_ies:{id:10 value:{rfl:{value:{id:8 criticality:1 value:{rfi:{ran_function_id:{value:4} ran_function_definition:{value:"t\x18ORAN-E2SM-KPM\x00\x00\x181.3.6.1.4.1.53148.1.2.2.2\x07\x00KPM 2.0 Monitor\x00\x01\x00\x00C\x00&\x84\x13\x00\x01EP\x00\x00\x00\x00\x00\x02\x00\x00\x0f138426014550001\x00&\x84\x13\x01EP\x00\x10\x00\x0f138426014550002\x00&\x84\x13\x01EP\x00 \x00\x0f138426014550003\x00&\x84\x13\x01EP\x000\x00\x01\x07\x00Periodic Report\x00\x01\x00\x01\x07\x00Periodic Report\x00\x01\x00\x10B PDUSessionSetupReq\x00\x00\x00B@PDUSessionSetupSucc\x00\x00\x01B@PDUSessionSetupFail\x00\x00\x02A\x00PrbUsedDL\x00\x00\x03A\x00PrbUsedUL\x00\x00\x04A\xc0PdcpPduVolumeDL\x00\x00\x05A\xc0PdcpPduVolumeUL\x00\x00\x06A\xe0PdcpRatePerPRBDL\x00\x00\x07A\xe0PdcpRatePerPRBUL\x00\x00\x08B`RRC.ConnEstabAtt.Sum\x00\x00\tB\x80RRC.ConnEstabSucc.Sum\x00\x00\nB\xa0RRC.ConnReEstabAtt.Sum\x00\x00\x0bC\xc0RRC.ConnReEstabAtt.reconfigFail\x00\x00\x0cC\x00RRC.ConnReEstabAtt.HOFail\x00\x00\rB\xe0RRC.ConnReEstabAtt.Other\x00\x00\x0eA`RRC.Conn.Avg\x00\x00\x0fA`RRC.Conn.Max\x00\x00\x10\x00\x01\x00\x01"} ran_function_revision:{value:1} ran_function_oid:{value:"1.3.6.1.4.1.53148.1.2.2.2"}}}} value:{id:8 criticality:1 value:{rfi:{ran_function_id:{value:6} ran_function_definition:{value:"|\x05\x80ORAN-E2SM-RC\x00\x00\x181.3.6.1.4.1.53148.1.1.2.3\x05\x00RAN Control\x00`\x00\x01\x06\x00Message Event\x00\x01\x00\x02\x0b\x00Call Process Breakpoint\x00\x02\x00\x03\t\x00E2 Node Information\x00\x03\x02\x80\x00\x02\t\x80Call Process Outcome\x00\x02\x00\x01\x00\x01\x00\x02\x00\n\x00\x00\x06\x00Current UE ID\x08R\x08\x03\x00S-NSSAI\x08R\t\x01\x00SST\x08R\n\x00\x80SD\x08i\xe3\n\x00Best Neighboring Cell\x08T\x17\n\x80List of Neighbor cells\x08'u\x05\x80Cell Results\x08'v\x05\x00SSB Results\x080\xd4\x01\x80RSRP\x080\xd5\x01\x80RSRQ\x080\xd6\x01\x80SINR\x00\x00\x03\t\x00E2 Node information\x00\x03\x00\x01\x00\x01\x00\x03\x02\x80\x00\x03\x13\x00Connected Mode Mobility Control Request\x00\x01\x00\x03\x00\x00@\x00\x00\x0b\x80Handover Control Request\x00\x05\x00\x00\n\x80Target Primary Cell ID\x00\x01\x05\x00Target Cell\x00\x02\x03\x00NR Cell\x00\x03\x02\x80NR CGI\x00\x06\x10\x00List of PDU sessions for handover\x00\x0c\x0c\x00List of DRBs for handover\x00\x02\x00\x05\x00\x01\x02\x80\x00\xc8\x05\x00PCI Control\x00\x00@\x00\x00\x05\x00PCI Control\x00\x01\x00\x00\t\x00Serving Cell NR PCI\x00\x01\x07\x80Serving Cell CGI\x00\x01\x00\x01\x00\x01@\x00\x03\x0b\x00Connected Mode Mobility\x00\x00@\x00\x00\x07\x80Handover Control\x00\x00\x00\x00\n\x80Target Primary Cell ID\x00\x01\x00\x01\x00\x01\x00\x80\x00\x03\x0f\x00Connected Mode Mobility Control\x00\x01\x00\x00`\x00\x00\r\x00Policy for Handover Control\x00\x02\x00\x01\x00\x00\n\x80Target Primary Cell ID\x08'\xd8\t\x80Cell Specific Offset\x00\x01\x00\x00\n\x80Target Primary Cell ID\x08'\xd8\t\x80Cell Specific Offset"} ran_function_revision:{value:1} ran_function_oid:{value:"1.3.6.1.4.1.53148.1.1.2.3"}}}} value:{id:8 criticality:1 value:{rfi:{ran_function_id:{value:5} ran_function_definition:{value:" \xc0ORAN-E2SM-MHO\x00\x00\x1a1.3.6.1.4.1.53148.1.2.2.101\x01\x00MHO\x01\x03`\x00\x01\x01\x0e\x00Periodic and On Change Report\x01\x01\x00\x01\x01\x0c\x80PCI and NRT update for eNB\x01\x01\x01\x01"} ran_function_revision:{value:1} ran_function_oid:{value:"1.3.6.1.4.1.53148.1.2.2.101"}}}} value:{id:8 criticality:1 value:{rfi:{ran_function_id:{value:3} ran_function_definition:{value:" \xf0ORAN-E2SM-RC-PRE\x00\x00\x1a1.3.6.1.4.1.53148.1.2.2.100\x02\x80RC PRE\x00\x03`\x00\x01\x0e\x00Periodic and On Change Report\x00\x01\x00\x01\x0c\x80PCI and NRT update for eNB\x00\x01\x00\x01"} ran_function_revision:{value:1} ran_function_oid:{value:"1.3.6.1.4.1.53148.1.2.2.100"}}}}}}} protocol_ies:{id:49 value:{tr_id:{value:1}}} protocol_ies:{id:50 value:{e2nccal:{value:{id:51 value:{e2nccui:{e2node_component_interface_type:E2NODE_COMPONENT_INTERFACE_TYPE_F1 e2node_component_id:{e2node_component_interface_type_f1:{g_nb_du_id:{value:21}}} e2node_component_configuration:{e2node_component_request_part:"\x00\x01\x00\x80\xb7\x00\x00\x04\x00N\x01\x00\x02\x00\x01\x00*\x01\x00\x02\x00\x15\x00\xab\x01\x00\x01p,\x01\x00\x80\x9b\x00\x02\x00+\x01\x00.\x00&\x84\x13\x01\x00U\x14\x00\x00s\x01\x00&\x84\x13\x00*\x00\x00\x00\x04\x00\x1f\x00*\x00\x00\x00\x04\x00\x1f\x00\x01\x03\x01\x00\x00\x01\x03\x01\x00\x03\xf1\xf1\xf1\x00+\x01\x00.\x00&\x84\x13\x02\x00U\x14\x00\x01\xe0\x01\x00&\x84\x13\x00*\x00\x00\x00\x04\x00\x1f\x00*\x00\x00\x00\x04\x00\x1f\x00\x01\x03\x01\x00\x00\x01\x03\x01\x00\x03\xf1\xf1\xf1\x00+\x01\x00.\x00&\x84\x13\x03\x00U\x14\x00\x00\x94\x01\x00&\x84\x13\x00*\x00\x00\x00\x04\x00\x1f\x00*\x00\x00\x00\x04\x00\x1f\x00\x01\x03\x01\x00\x00\x01\x03\x01\x00\x03\xf1\xf1\xf1" e2node_component_response_part:"\x04\x05\x06"}}}} value:{id:51 value:{e2nccui:{e2node_component_interface_type:E2NODE_COMPONENT_INTERFACE_TYPE_XN e2node_component_id:{e2node_component_interface_type_xn:{global_ng_ran_node_id:{g_nb:{plmn_id:{value:"&\x84\x13"} gnb_id:{gnb_id:{value:"\x01EP" len:22}}}}}} e2node_component_configuration:{e2node_component_request_part:"\x00\x11\x00\x82)\x00\x04\x0e\x00\x08\x00&\x84\x13\x00\x01EPK\x00\x10\x00\x00\x01\x01\x01\x00&\x84\x13\x00\x00@ \x01#E\x04\x00\x05\x00&\x84\x13\xdd\x13\x00\x81\xfd\x00\x02D\x00s\x00&\x84\x13\x01\x00U\x14\x00\x01\x01\x01\xff\x00&\x84\x13\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x18C\x08\x03\xf1\xf1\xf1\x10\x00\x02@\x00\x94\x00&\x84\x13\x03\x00U\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1@\x00\xda\x00&\x84\x13\x01\xc0T\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1@\x01\xe0\x00&\x84\x13\x02\x00U\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1D\x01\xe0\x00&\x84\x13\x02\x00U\x14\x00\x01\x01\x01\xff\x00&\x84\x13\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x18C\x08\x03\xf1\xf1\xf1\x10\x00\x02@\x00\x94\x00&\x84\x13\x02\xc0T\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1@\x00s\x00&\x84\x13\x01\x00U\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1@\x00\x94\x00&\x84\x13\x03\x00U\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1D\x00\x94\x00&\x84\x13\x03\x00U\x14\x00\x01\x01\x01\xff\x00&\x84\x13\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x18C\x08\x03\xf1\xf1\xf1\x10\x00\x02@\x01\xe0\x00&\x84\x13\x03\xc0T\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1@\x00s\x00&\x84\x13\x01\x00U\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1@\x01\xe0\x00&\x84\x13\x02\x00U\x14\x00\x01\x01\x01\xff\x00\x00*\x02\x00\x00\x00\x00\x00\x1f\x00*\x02\x00\x00\x00\x00\x00\x1f\x10\x03\xf1\xf1\xf1" e2node_component_response_part:"\x04\x05\x06"}}}}}}}
2023-07-19T01:39:52.954Z	INFO	github.com/onosproject/onos-e2t/pkg/southbound/e2ap/server	server/server.go:210	Sending E2 setup response protocol_ies:{id:49 value:{tr_id:{value:1}}} protocol_ies:{id:4 value:{g_ric_id:{p_lmn_identity:{value:"&\x84\x13"} ric_id:{value:"޼\xa0" len:20}}}} protocol_ies:{id:52 value:{e2nccaal:{value:{id:53 value:{e2nccaai:{e2node_component_interface_type:E2NODE_COMPONENT_INTERFACE_TYPE_S1 e2node_component_id:{e2node_component_interface_type_s1:{mme_name:{value:"S1-component"}}} e2node_component_configuration_ack:{}}}}}}} protocol_ies:{id:9 value:{rf_idl:{value:{id:6 criticality:1 value:{rf_id:{ran_function_id:{value:3} ran_function_revision:{value:1}}}} value:{id:6 criticality:1 value:{rf_id:{ran_function_id:{value:4} ran_function_revision:{value:1}}}} value:{id:6 criticality:1 value:{rf_id:{ran_function_id:{value:5} ran_function_revision:{value:1}}}}}}}
2023-07-19T01:39:52.954Z	INFO	github.com/onosproject/onos-e2t/pkg/southbound/e2ap/server	server/mgmt_conn_manager.go:56	Opened management connection mgmt:e2:1/5154
2023-07-19T01:39:52.954Z	INFO	github.com/onosproject/onos-e2t/pkg/southbound/e2ap/server	server/mgmt_conn_manager.go:47	Notifying management connection:%!(EXTRA server.ConnID=mgmt:e2:1/5154)
2023-07-19T01:39:52.954Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/configuration	configuration/controller.go:68	Reconciling  configuration using mgmt connection: mgmt:e2:1/5154
2023-07-19T01:39:52.958Z	WARN	onos/grpc/retry	retry/retry.go:70	SendMsg id:"e2:1/5154" : error%!(EXTRA *status.Error=rpc error: code = NotFound desc = key e2:1/5154 not found)
2023-07-19T01:39:52.966Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/mastership	mastership/controller.go:48	Reconciling mastership election for e2 Node  e2:1/5154
2023-07-19T01:39:52.971Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/configuration	configuration/controller.go:68	Reconciling  configuration using mgmt connection: mgmt:e2:1/5154
2023-07-19T01:39:52.979Z	WARN	onos/grpc/retry	retry/retry.go:70	SendMsg id:"e2:1/5154/14550001" : error%!(EXTRA *status.Error=rpc error: code = NotFound desc = key e2:1/5154/14550001 not found)
2023-07-19T01:39:52.986Z	WARN	github.com/onosproject/onos-e2t/pkg/controller/mastership	mastership/controller.go:104	No controls relations found for E2Node entity 'e2:1/5154'
